,NS10,EW9,NS16,SE3,BP9,CC12,CE1/DT16,DT5,EW5,DT29,DT30,DT21,DT23,NS17/CC15,NE9,EW27,CC19/DT9,NS18,CC2,NE15,EW12/DT14,NS2,NS3,BP6/DT1,EW21/CC22,CC17,DT2,CG2,SW1,NE4/DT19,EW25,NS4/BP1,NS25/EW13,NE5,EW23,EW20,SE1,PE3,PE1,CC8,PE7,NS24/NE6/CC1,EW22,DT17,CC3,EW7,CG1/DT35,BP10,SW2,NE8,CC20,SW5,DT20,DT24,EW30,NE1/CC29,CC25,DT3,CC21,NE14,DT22,BP12,EW29,NS1/EW24,PE5,DT28,EW10,SE4,BP3,EW6,CC24,NS14,DT6,NE13,NS7,SW3,CC27,EW26,EW11,SW6,NE7/DT12,CC14,CC10/DT26,NS27/CE2,NS28,NS8,CC16,DT25,PE2,CC7,NS21/DT11,PW5,CC5,NS20,PE6,CC23,NS22,EW16/NE3,CC26,EW1,EW8/CC9,BP8,BP7,BP5,EW28,NE10,CC4/DT15,NE17/PTC,PW3,EW19,NS26/EW14,SE5,EW18,SW8,PE4,DT13,SE2,PW1,PW4,BP11,NS11,NE16/STC,BP13,NE12/CC13,EW3,DT7,NS23,PW7,BP2,CC6,DT10,PW6,CC11,EW2/DT32,DT33,DT31,DT8,EW4,EW15,BP4,DT18,CC28,BP14,SW4,EW17,NS19,SW7,EW31,EW33,EW32,DT27,DT34,NS9,NE11,NS5,NS15,NS13
NS10,0,42,17,53,26,30,40,35,46,43,45,47,43,19,37,30,33,21,38,38,36,20,18,23,32,28,29,57,48,40,25,14,34,38,27,34,50,52,49,38,49,32,30,42,40,42,52,27,50,39,35,53,45,41,39,45,41,31,37,36,45,25,36,23,52,41,40,51,19,44,39,9,37,34,7,51,46,27,38,51,33,25,34,38,40,5,26,39,50,40,27,50,40,25,51,37,29,40,43,54,36,25,24,22,32,35,38,42,49,36,36,50,38,48,53,34,51,47,50,27,3,41,24,27,52,39,31,48,18,42,33,49,32,49,51,47,37,49,38,20,43,48,24,52,40,23,49,41,45,43,39,54,2,33,12,15,7
EW9,42,0,25,41,41,12,13,26,8,17,19,21,17,19,20,40,18,21,15,26,6,36,38,34,24,24,32,19,36,17,35,42,8,16,29,22,38,40,37,8,37,10,26,15,13,4,14,42,38,18,24,41,19,15,49,21,33,30,27,24,19,40,46,33,40,15,2,39,42,6,31,33,24,22,49,39,28,37,4,39,12,17,8,12,14,47,22,13,38,10,14,38,13,17,39,29,13,14,31,19,2,40,39,39,42,22,11,30,37,20,10,38,18,36,41,11,39,35,38,42,39,29,39,15,14,22,11,36,43,12,16,37,10,17,22,21,20,11,12,41,16,26,39,40,16,19,37,51,55,53,13,19,44,21,44,27,35
NS16,17,25,0,36,41,13,23,26,29,26,28,30,26,2,20,42,16,4,21,21,19,37,35,34,23,11,32,40,31,23,37,31,17,21,31,28,33,35,32,21,32,15,28,25,23,25,35,42,33,22,18,36,28,24,51,28,29,30,21,19,28,40,48,35,35,24,23,34,36,27,27,8,24,17,24,34,34,39,21,34,16,8,17,21,23,22,9,22,33,23,10,33,23,8,34,25,12,23,31,37,19,40,39,39,44,18,21,25,32,29,19,33,27,31,36,17,34,30,33,42,14,24,39,10,35,22,14,31,35,25,16,32,15,32,34,30,20,32,21,37,26,33,39,35,25,6,32,53,57,55,22,37,19,16,29,2,10
SE3,53,41,36,0,65,29,43,50,45,42,44,45,42,30,28,66,40,36,40,15,39,62,64,58,47,35,56,56,13,38,61,67,40,36,55,52,3,23,20,37,20,34,52,43,42,41,51,66,15,30,42,18,43,40,75,43,53,54,45,17,44,64,72,59,23,40,43,1,66,43,51,44,48,19,60,16,50,63,44,16,32,28,33,44,46,58,33,38,21,39,38,21,43,40,22,49,41,40,53,53,35,64,63,63,68,26,41,13,20,50,42,3,48,13,24,37,1,18,21,66,50,9,63,22,51,46,39,19,67,41,40,20,31,48,50,46,44,48,44,65,42,48,63,17,46,38,14,77,81,79,38,53,55,24,65,38,46
BP9,26,41,41,65,0,44,36,15,49,55,57,44,48,37,37,28,23,37,38,50,32,18,16,3,30,32,9,60,60,39,23,9,37,37,25,32,62,64,61,42,61,35,28,38,36,45,55,1,62,35,29,65,42,50,37,44,39,11,32,48,46,3,34,21,64,53,39,63,7,47,37,35,17,46,19,63,44,25,37,63,29,39,46,38,43,21,34,51,62,40,27,62,36,33,63,35,33,40,41,60,43,1,2,4,30,39,34,54,61,34,39,62,36,60,65,30,63,59,62,2,29,53,4,41,55,19,35,60,8,38,25,61,46,58,63,59,21,52,41,6,39,46,4,64,38,35,61,39,43,41,51,60,24,41,14,41,33
CC12,30,12,13,29,44,0,18,29,16,13,15,17,13,7,13,43,17,13,20,14,18,39,41,37,24,12,35,27,24,21,38,44,20,21,32,29,26,28,25,8,25,19,29,20,18,12,22,45,26,15,19,29,19,11,52,28,30,33,22,12,15,43,49,36,28,11,14,27,45,14,28,21,27,10,37,27,35,40,16,27,17,5,4,20,26,35,10,9,26,10,19,26,14,17,27,26,21,25,32,24,6,43,42,42,45,11,16,18,25,31,22,26,30,24,29,20,27,23,26,45,27,17,42,3,22,25,23,24,46,12,23,25,2,19,21,17,23,19,24,44,21,33,42,28,28,15,25,54,58,56,9,24,32,9,42,15,23
CE1/DT16,40,13,23,43,36,18,0,21,21,23,25,8,12,21,15,38,13,19,6,28,4,34,36,29,22,22,27,32,38,4,33,39,9,9,27,20,40,42,39,10,39,8,24,2,4,17,27,37,40,13,19,43,6,14,47,12,24,25,22,26,10,35,44,31,42,21,11,41,37,19,26,31,19,24,47,41,19,35,9,41,7,23,14,2,8,45,24,16,40,8,9,40,4,15,41,26,14,9,22,32,12,35,34,34,40,17,2,32,39,18,8,40,16,38,43,6,41,37,40,37,37,31,34,21,27,17,12,38,38,6,11,39,16,29,31,27,15,24,10,36,3,17,34,42,14,17,39,49,53,51,19,32,42,19,42,25,33
DT5,35,26,26,50,15,29,21,0,34,40,42,29,33,22,22,37,8,22,23,35,17,27,25,8,19,17,6,45,45,24,32,18,22,22,27,24,47,49,46,27,46,20,24,23,21,30,40,16,47,20,14,50,27,35,46,29,25,4,17,33,31,14,43,30,49,38,24,48,16,32,23,34,2,31,28,48,30,34,22,48,14,24,31,23,28,30,19,36,47,25,12,47,21,18,48,21,18,26,27,45,28,14,13,13,39,24,19,39,46,26,24,47,28,45,50,15,48,44,47,16,38,38,13,26,40,4,20,45,17,23,10,46,31,43,48,44,6,37,26,15,24,32,13,49,30,20,46,48,52,50,36,45,33,26,23,28,36
EW5,46,8,29,45,49,16,21,34,0,18,16,25,21,23,28,48,26,29,23,30,14,44,46,42,32,28,40,11,40,25,43,50,16,24,37,30,42,44,41,12,41,18,34,23,21,4,6,50,42,26,32,45,27,19,57,29,41,38,35,28,23,48,54,41,44,19,10,43,50,2,39,37,32,26,53,43,36,45,12,43,20,21,12,20,22,51,26,17,42,14,22,42,18,25,43,37,21,22,39,11,6,48,47,47,50,27,19,34,41,28,18,42,26,40,45,19,43,39,42,50,43,33,47,19,6,30,19,40,51,16,24,41,14,9,14,14,28,3,20,49,24,34,47,44,24,27,41,59,63,61,17,11,48,25,52,31,39
DT29,43,17,26,42,55,13,23,40,18,0,2,16,12,20,26,55,30,26,25,27,23,51,53,48,37,25,46,21,37,20,50,57,25,25,44,37,39,41,38,13,38,27,41,22,23,17,13,56,39,28,32,42,18,10,64,28,40,44,35,25,14,54,61,48,41,2,19,40,56,19,41,34,38,23,50,40,35,52,21,40,26,18,6,25,31,48,23,8,39,15,28,39,19,30,40,39,30,25,38,11,11,54,53,53,57,24,21,31,38,35,27,39,33,37,42,25,40,36,39,56,40,30,53,16,12,36,28,37,57,17,30,38,11,6,8,4,34,15,29,55,21,33,53,41,31,28,38,66,70,68,4,11,45,22,55,28,36
